																								
基本信息															已售信息									
					预售计容面积				预售不计容面积		预售房屋单元数				已售计容面积				已售不计容面积		已售房屋单元数			
土地证号	项目名称	证号	发证日期	公安门牌	住宅	商业	办公	其它	地下车库	其它	住宅	商业	办公	其它	住宅	商业	办公	其它	地下车库	其它	住宅	商业	办公	其它
佛禅国用（2015）第1101967号	绿地未来商业中心	2015011901		禅城区玉带路16号一、二、三、四、五、六座	29584.66	5728.43	0	0			330	30	0	0	21802.91	0	0				243			
佛禅国用（2015）第1101967号	绿地未来商业中心	2015012301		禅城区玉带路16号七座至十五座	24977.74	0	0	0			198	0	0	0	20550.4	0	0				163			
佛禅国用（2015）第1101967号	绿地未来商业中心	2015012401		禅城区玉带路16号十六座至二十八座	25843.74	740.72	0	0			252	9	0	0	7209.87	0	0				70			
佛禅国用（2015）第1101967号	绿地未来商业中心	2015013701		禅城区昌荣二街20、22号	0	4430.51	36669.67	0			0	60	667	0	0	0	0				0			
佛禅国用（2015）第1101967号	绿地未来商业中心	2016003701		禅城区玉带路16号29至33座、37至42座、47座、48座	39576.83	950.87	0	0			348	7	0	0	88.99	0	0				1			
佛禅国用（2013）第1209300号	兆阳大厦	2016000801		禅城区同济东路66号二座	0	42926.52	0	0			0	965	0		0	4383.7		0			0	101		
佛禅国用(2015)第1100547号	童梦家园	2015012501		禅城区季华一路29号九座	5637.88	1121.88	0	0			62	9	0		5637.88	0		0			62	0		
佛禅国用(2015)第1100547号	童梦家园	2015013101		禅城区季华一路29号八座	5087.06	1839.91	0	0			61	14	0		4994.85	0		0			60	0		
佛禅国用(2015)第1100547号	童梦家园	2015012601		禅城区季华一路29号一座	10571.5	1329.29	0	0			108	12	0		10171.31	0		0			104	0		
佛禅国用(2015)第1100547号	童梦家园	2016002101		禅城区季华一路29号二座	10099.42	1844.97	0	0			107	18	0		9897.01	0		0			105	0		
佛禅国用(2015)第1100547号	童梦家园	2016003201		禅城区季华一路29号三座	8539.44	497.35	0	0			84	9	0		7556.82	0		0			75	0		
佛禅国用(2015)第1100547	童梦家园	2016004101		禅城区季华一路29号五座	8539.72	435.35	0	0			84	8	0		5468.11	0		0			53	0		
佛禅国用（2011）第1206770号	东海国际商务公馆	QK20140021		禅城区佛山大道北36号地下停车场	0	0	0	2338.02			0	0	0		0	0		2338.02			0	0		
佛禅国用（2011）1206770号	东海国际商务公馆	2013010901		禅城区佛山大道北36号	0	2599.58	0	0			0	26	0		0	2599.58		0			0	26		
佛禅国用（2011）第1206770号	东海国际商务公馆	QK20140022		禅城区佛山大道北40号二层	0	0	0	1777.58			0	0	0		0	0		1777.58			0	0		
佛禅国用（2011）第1206770号	东海国际商务公馆	2013003501		禅城区佛山大道北40号一座、二座	0	22974.01	0	0			0	556	0		0	22974.01		0			0	556		
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
"说明：
1.【类型】只能是 预售许可证 或 现售备案，填写其它值则会出错。
2.【发证日期】如果填写，格式必须为 yyyy-MM-dd，例如 2016-06-08，其它格式程序不识别。
3.【面积】、【房屋单元数】的值必须为数字。否则会出错。
4.【土地证号】和【项目名称】必须填写。当同一个【土地证号】必须对应同一个【项目名称】"																								
																								
																								
																								
																								
